,address,city,name,rating,review_count
0,4520 Frankford Rd,Dallas,Subway Restaurants,3.5,14
0,2636 Frankford Rd,Dallas,Subway,1.5,11
0,19004 Midway Rd,Dallas,Subway,3.5,2
0,4353 Gannon Lane,Dallas,Subway Restaurants,1.0,1
0,8702 S Polk St,Dallas,Subway Restaurants,3.0,2
0,3805 W Wheatland Rd,Dallas,Subway Restaurants,1.0,1
0,3200 E Airfield Dr,Dallas,Subway,2.5,4
0,2400 Aviation Dr,Dallas,Subway,2.5,4
0,Terminal B,Dallas,Subway,1.5,3
0,102 S Beltline,Dallas,Subway Restaurants,5.0,1
0,4341 Lemmon Ave,Dallas,Taco Bell,2.5,38
0,3127 Inwood Rd,Dallas,Taco Bell,2.5,27
0,2404 North Washington Avenue,Dallas,Taco Bell,2.0,52
0,7110 Greenville Ave,Dallas,Taco Bell,2.0,21
0,1201 Elm St,Dallas,Taco Bell,1.5,2
0,8249 N Stemmons Fwy.,Dallas,Taco Bell,1.5,21
0,8001 Forest Lane,Dallas,Taco Bell,2.0,11
0,3001 N. Hampton Rd.,Dallas,Taco Bell,1.5,9
0,9820 Walnut Hill Ln,Dallas,Taco Bell,2.0,12
0,2245 W Northwest Hwy,Dallas,Taco Bell,1.5,19
0,3636 Forest Lane,Dallas,Taco Bell,1.5,11
0,11829 Abrams Road,Dallas,Taco Bell,2.0,14
0,4151 LBJ Fwy,Dallas,Taco Bell,3.0,12
0,13350 Dallas Pkwy,Dallas,Taco Bell,2.5,3
0,13670 Preston Road,Dallas,Taco Bell,2.5,12
0,5575 N Jim Miller Rd,Dallas,Taco Bell,3.0,9
0,11441 Jupiter Road,Dallas,Taco Bell,2.5,10
0,3223 Fort Worth Ave,Dallas,Taco Bell,2.5,6
0,1702 N. Cockrell Hill Rd.,Dallas,Taco Bell,2.0,8
0,11702 Plano Rd.,Dallas,Taco Bell,2.5,6
0,7975 Belt Line Rd,Dallas,Taco Bell,1.5,6
0,15208 Montfort Dr,Dallas,Taco Bell,3.0,15
0,505 W Illinois Ave,Dallas,Taco Bell,1.5,10
0,3470 Illinois Ave.,Dallas,Taco Bell,1.5,9
0,1955 South Buckner Rd,Dallas,Taco Bell,2.5,4
0,2802 E. Ledbetter Dr.,Dallas,Taco Bell,1.0,1
0,17530 Marsh Lane,Dallas,Taco Bell,2.5,32
0,4616 Frankford Road,Dallas,Taco Bell,2.5,26
0,AAFES Headquarters,Dallas,Taco Bell,5.0,3
0,10310 Lake June Rd,Dallas,Taco Bell,3.0,2
0,4345 W Camp Wisdom Rd.,Dallas,Taco Bell,1.5,11
